"Block Id";"Id";"Name";"Description";"DataType Id";"Comment"
"S10.G00.01";"004";"Numéro, extension, nature et libellé de la voie";"Numéro : Il précise l’adresse dans la voie. Sa valeur est différente de 0 et ne doit pas dépasser 4 chiffres. En cas de numéro multiple, seul le premier doit être indiqué (pour exemple indiquer 4 pour 4/14)_x000D_
Extension : Lettre accolée au numéro si celui-ci ne présente pas une précision suffisante (par exemple B pour BIS, T pour TER, etc…)_x000D_
Nature de la voie : information facultative décrivant la nature de la voie (rue, avenue, etc…)_x000D_
Libellé de la voie : Appellation officielle de la voie";"N4DS_Adresse";"Emetteur.Voie"
"S10.G00.01";"005";"Code postal";"Donnée d'organisation de la distribution postale, à utiliser telle que définie dans le fichier Hexaposte";"La_Poste_Hexaposte";"Emetteur.CodePostal"
"S10.G00.01";"006";"Localité";"La localité est un élément géographique et administratif. C’est le premier élément d’identification associé au code postal. Le libellé est la plupart du temps le nom officiel de la localité enregistrée à l’INSEE et au Journal Officiel.";"N4DS_Adresse_Localite";"Emetteur.Localite"
"S10.G00.01";"007";"Code pays";"Nom du pays (territoire d’un état) exprimé sous la forme d’un code.";"ISO_3166-1-A2_Pays";"Emetteur.Pays"
"S10.G00.01";"008";"Code de distribution à l'étranger";"Mention complémentaire pour les adresses ne relevant du système postal français";"N4DS_Adresse";"Emetteur.CodeDistribution"
"S10.G00.01";"009";"Complément de la localisation de la construction";"Les compléments d’adresse permettent d’indiquer le point de remise exact du courrier. Ils donnent des informations précises et déterminantes dans la phase finale de distribution du courrier, tel que le bâtiment, la boîte aux lettres, le numéro d’appartement.";"N4DS_Adresse";"Emetteur.ComplementConstruction"
"S10.G00.01";"010";"Service de distribution, complément de localisation de la voie";"Il s’agit de services de distribution du courrier spécifiques proposés ou mis en place par La Poste";"N4DS_Adresse";"Emetteur.ComplementVoie"
"S10.G00.02";"001";"Code civilité";;"Civilite";"Contact.Civilite"
"S10.G00.02";"002";"Nom et prénom de la personne à contacter";"Nom, prénom de l'agent de l'émetteur pouvant donner des précisions sur cet envoi._x000D_
";"Identite_Base_1-80_regex";"Contact.Nom"
"S10.G00.02";"004";"Adresse mél du contact émetteur";"Cette adresse sera utilisée dans le cadre des contacts en lien avec vos déclarations actuelles et à venir.";"N4DS_Email_6-100";"Contact.Mel"
"S10.G00.02";"005";"Adresse téléphonique";;"Telephone";"Contact.Tel"
"S10.G00.02";"006";"Adresse fax";"Si souhaité par le contact.";"Telephone";"Contact.fax"
"S20.G00.05";"001";"Nature de la déclaration";;"DSN_Declaration_Nature";"Declaration.Nature"
"S20.G00.05";"002";"Type de la déclaration";;"DSN_Declaration_Type";"Declaration.Type"
"S20.G00.05";"003";"Numéro de fraction de déclaration";"Le numéro de fraction de la déclaration est exprimé par 'nd' avec :_x000D_
n = numéro de la fraction_x000D_
d = nombre total de fractions_x000D_
n doit être inférieur ou égal à d_x000D_
Pour un même établissement le nombre d (nombre total de fractions) doit rester constant._x000D_
L'établissement s'engage à produire ou à faire produire l'ensemble des fractions annoncées._x000D_
Exemples:_x000D_
12 : fraction 1/2 dirigeants,_x000D_
22 : fraction 2/2 cadres et salariés._x000D_
Pour une entreprise non fractionnée mettre 11.";"Declaration_Fraction";"Declaration.Fraction"
"S20.G00.05";"004";"Numéro d'ordre de la déclaration";"Le numéro d'ordre de la déclaration (attribué par le déclarant) est une référence qui permet d'identifier le rang de constitution d'une déclaration au cours du mois courant._x000D_
Pour une Mensuelle, ce numéro est remis à zéro à chaque premier jour de mois civil. Pour un signalement, ce numéro ne doit pas être remis à zéro afin qu’il soit unique quel que soit le mois d’émission._x000D_
";"Declaration_Ordre";"Declaration.Ordre"
"S20.G00.05";"005";"Date du mois principal déclaré";"Il s'agit du premier jour du mois civil au titre duquel est établie la paie, hors éventuels rappels._x000D_
Cette date doit être renseignée au premier jour du mois (sous la forme 01mmaaaa).";"Date_JJMMAAAA_Mois_Declare";"Declaration.Mois"
"S20.G00.05";"006";"Identifiant de la déclaration annulée ou remplacée";"L'identifiant de la déclaration annulée ou remplacée est celui de la dernière déclaration, relative au même évènement validée par le point de dépôt._x000D_
Cette rubrique est une concaténation de la date de constitution du fichier (S20.G00.05.007) et du numéro d’ordre de la déclaration (S20.G00.05.004) de la déclaration annulée.";"Identifiant_33";"Declaration.IdentifiantAnnulation"
"S20.G00.05";"007";"Date de constitution du fichier";;"Date_JJMMAAAA_20";"Declaration.DateFichier"
"S20.G00.05";"008";"Champ de la déclaration";"Pour les entreprises mixtes, cette rubrique doit être renseignée de la valeur 02 ou de la valeur 03 en concordance avec le régime de protection sociale des salariés déclarés. Toutes les autres entreprises non mixtes doivent renseigner cette rubrique avec la valeur 01.";"Declaration_Champ";"Declaration.Champ"
"S20.G00.05";"009";"Identifiant métier";"Cette rubrique vous permet de renseigner un identifiant métier de déclaration qui pourra être utilisé en cas de contact direct avec un OPS.";"Type_Alphanumeric_1-15";"Declaration.IdentifiantMetier"
"S20.G00.05";"010";"Devise de la déclaration";"La devise choisie s'applique à tous les montants présents dans la déclaration.";"DSN_Devise_Paiement";"Declaration.DeviseDeclaration"
"S20.G00.07";"001";"Nom et prénom du contact";;"Identite_Base_1-80";"ContactDeclare.Nom"
"S20.G00.07";"002";"Adresse téléphonique";;"Telephone";"ContactDeclare.Tel"
"S20.G00.07";"003";"Adresse mél du contact";"Cette adresse mél est utilisée pour adresser le compte-rendu métier DSIJ.";"N4DS_Email_6-100";"ContactDeclare.mel"
"S20.G00.07";"004";"Type";;"DSN_ContactDeclare_type";"ContactDeclare.type"
"S20.G00.08";"001";"Code caisse";"Numéro de la caisse destinataire de la DSN sans salarié affilié._x000D_
CIBTP : non concerné_x000D_
AGIRC ARRCO :  88_x000D_
MSA : code caisse MSA_x000D_
CCVRP : non concerné_x000D_
CNIEG : 91_x000D_
CAMIEG : 92_x000D_
POLE EMPLOI : non concerné_x000D_
CRPCEN : 94_x000D_
IRCANTEC : 95_x000D_
CRPNPAC :  96_x000D_
Caisse de congés spectacles : 97_x000D_
CNRACL : non concerné_x000D_
RAFP : non concerné_x000D_
SRE : non concerné_x000D_
RAFP : non concerné_x000D_
FSPOEIE : non concerné_x000D_
RAEP : non concerné";"DSN_Code_Caisse";"IdentifiantOrganismeDestinataireNeant.CodeCaisse"
"S21.G00.06";"001";"SIREN";"Le numéro SIREN est un identifiant de neuf chiffres attribué à chaque unité légale. Les huit premiers chiffres n'ont aucune signification, excepté pour les organismes publics dont le numéro SIREN commence obligatoirement par 1 ou 2. Le neuvième chiffre est un chiffre de contrôle de validité du numéro.";"Identifiant_Siren_strict";"Entreprise.Siren"
"S21.G00.06";"002";"NIC du siège";"Il s'agit du NIC de l'établissement siège de l'entreprise, ou, pour les entreprises étrangères, du NIC du premier établissement implanté en France._x000D_
Si le siège est SIRETisé, l’entreprise dispose donc d’un NIC, et alors le NIC doit être renseigné.";"Identifiant_Nic_strict";"Entreprise.Nic"
"S21.G00.06";"003";"Code APEN";"Le code APE est attribué par l’INSEE à toute entreprise et chacun de ses établissements lors de son inscription au répertoire SIRENE. Ce code caractérise son activité principale par référence à la nomenclature d'activités française (NAF rév. 2)._x000D_
Il est nommé APEN dans le cas d'une entreprise, et APET pour un établissement.";"Insee_Naf_2008_4";"Entreprise.Apen"
"S21.G00.06";"004";"Numéro, extension, nature et libellé de la voie";"Numéro : Il précise l’adresse dans la voie. Sa valeur est différente de 0 et ne doit pas dépasser 4 chiffres. En cas de numéro multiple, seul le premier doit être indiqué (pour exemple indiquer 4 pour 4/14)_x000D_
Extension : Lettre accolée au numéro si celui-ci ne présente pas une précision suffisante (par exemple B pour BIS, T pour TER, etc…)_x000D_
Nature de la voie : information facultative décrivant la nature de la voie (rue, avenue, etc…)_x000D_
Libellé de la voie : Appellation officielle de la voie";"N4DS_Adresse";"Entreprise.Voie"
"S21.G00.06";"005";"Code postal";"Il s’agit de données d’organisation postale qui doivent être utilisées en l’état. Le code postal est composé de 5 chiffres. Les codes CEDEX ne sont pas admis.";"La_Poste_Hexaposte";"Entreprise.CodePostal"
"S21.G00.06";"006";"Localité";"La localité est un élément géographique et administratif. C’est le premier élément d’identification associé au code postal. Le libellé est la plupart du temps le nom officiel de la localité enregistrée à l’INSEE et au Journal Officiel.";"N4DS_Adresse_Localite";"Entreprise.Localite"
"S21.G00.06";"007";"Complément de la localisation de la construction";"Les compléments d’adresse permettent d’indiquer le point de remise exact du courrier. Ils donnent des informations précises et déterminantes dans la phase finale de distribution du courrier, tel que le bâtiment, la boîte aux lettres, le numéro d’appartement.";"Type_Alphanumeric_1-50";"Entreprise.ComplementConstruction"
"S21.G00.06";"008";"Service de distribution, complément de localisation de la voie";"Il s’agit de services de distribution du courrier spécifiques proposés ou mis en place par La Poste.";"N4DS_Adresse";"Entreprise.ComplementVoie"
"S21.G00.06";"009";"Effectif moyen de l'entreprise au 31 décembre";"L'effectif, calculé au 31 décembre, est égal à la moyenne des effectifs mensuels.";"Nombre_1_7_Regexp";"Entreprise.EffectifMoyen"
"S21.G00.06";"010";"Code pays";"Nom du pays (territoire d’un état) où est localisée l'entreprise, exprimé sous la forme d’un code._x000D_
Le code pays ne doit pas être renseigné pour les adresses relevant du système postal français._x000D_
Le domaine d'application du système postal français est constitué des territoires suivants :_x000D_
FR : France métropolitaine_x000D_
GP : Guadeloupe_x000D_
BL : Saint Barthélémy_x000D_
MF : Saint Martin_x000D_
MQ : Martinique_x000D_
GF : Guyane Française_x000D_
RE : Ile de la Réunion_x000D_
PM : Saint Pierre et Miquelon_x000D_
YT : Mayotte_x000D_
WF : Wallis et Futuna_x000D_
PF : Polynésie Française_x000D_
NC : Nouvelle Calédonie_x000D_
MC : Monaco";"ISO_3166-1-A2_Pays";"Entreprise.CodePays"
"S21.G00.06";"011";"Code de distribution à l'étranger";;"Type_Alphanumeric_1-50";"Entreprise.CodeDistribution"
"S21.G00.06";"012";"Implantation de l'entreprise";;"DSN_Implantation_Entreprise";"Entreprise.ImplantationEntreprise"
"S21.G00.06";"013";"Date de début de la période de référence (CVAE)";;"Date_JJMMAAAA_sans_regex";"Entreprise.DateDebutCvae"
"S21.G00.06";"014";"Date de fin de la période de référence (CVAE)";;"Date_JJMMAAAA_sans_regex";"Entreprise.DateFinCvae"
"S21.G00.11";"001";"NIC";"L'établissement est une unité de production localisée géographiquement, individualisée mais dépendant juridiquement d'une entreprise. _x000D_
Dans le cadre d'un contrat de travail, il s'agit de l'établissement de rattachement administratif du salarié._x000D_
Le Numéro interne de classement (NIC) est composé de 5 chiffres ajoutés au SIREN de l'entreprise pour identifier un établissement.";"Identifiant_Nic_strict";"Etablissement.Nic"
"S21.G00.11";"002";"Code APET";"Le code APE est attribué par l’INSEE à toute entreprise et chacun de ses établissements lors de son inscription au répertoire SIRENE. Ce code caractérise son activité principale par référence à la nomenclature d'activités française (NAF rév. 2)._x000D_
Il est nommé APEN dans le cas d'une entreprise, et APET pour un établissement.";"Insee_Naf_2008_4";"Etablissement.Apet"
"S21.G00.11";"003";"Numéro, extension, nature et libellé de la voie";"Numéro : Il précise l’adresse dans la voie. Sa valeur est différente de 0 et ne doit pas dépasser 4 chiffres. En cas de numéro multiple, seul le premier doit être indiqué (pour exemple indiquer 4 pour 4/14)_x000D_
Extension : Lettre accolée au numéro si celui-ci ne présente pas une précision suffisante (par exemple B pour BIS, T pour TER, etc…)_x000D_
Nature de la voie : information facultative décrivant la nature de la voie (rue, avenue, etc…)_x000D_
Libellé de la voie : Appellation officielle de la voie";"N4DS_Adresse";"Etablissement.Voie"
"S21.G00.11";"004";"Code postal";"Il s’agit de données d’organisation postale qui doivent être utilisées en l’état. Le code postal est composé de 5 chiffres. Les codes CEDEX ne sont pas admis.";"La_Poste_Hexaposte";"Etablissement.CodePostal"
"S21.G00.11";"005";"Localité";"La localité est un élément géographique et administratif. C’est le premier élément d’identification associé au code postal. Le libellé est la plupart du temps le nom officiel de la localité enregistrée à l’INSEE et au Journal Officiel.";"N4DS_Adresse_Localite";"Etablissement.Localite"
"S21.G00.11";"006";"Complément de la localisation de la construction";"Les compléments d’adresse permettent d’indiquer le point de remise exact du courrier. Ils donnent des informations précises et déterminantes dans la phase finale de distribution du courrier, tel que le bâtiment, la boîte aux lettres, le numéro d’appartement.";"N4DS_Adresse";"Etablissement.ComplementConstruction"
"S21.G00.11";"007";"Service de distribution, complément de localisation de la voie";"Il s’agit de services de distribution du courrier spécifiques proposés ou mis en place par La Poste";"N4DS_Adresse";"Etablissement.ComplementVoie"
"S21.G00.11";"008";"Effectif de fin de période déclarée de l'établissement";"Nombre de salariés de l'établissement d'affectation en fin de période déclarée.";"Nombre_1_6";"Etablissement.EffectifFinPeriode"
"S21.G00.11";"009";"Type de rémunération soumise à contributions d'Assurance chômage pour expatriés";"Porte le choix de l’établissement (salaire réel ou salaire de comparaison) sur le montant déclaré. Celui-ci peut correspondre à la rémunération réellement versée ou à une équivalence déterminée par l'employeur en vue d'ajuster les cotisations et indemnisations Assurance chômage au salaire que l'intéressé aurait perçue s'il avait travaillé en France.";"DSN_Renum_AC";"Etablissement.RemunerationExpatries"
"S21.G00.11";"015";"Code pays";"Nom du pays (territoire d’un état) où est localisé l'établissement, exprimé sous la forme d’un code._x000D_
Le code pays ne doit pas être renseigné pour les adresses relevant du système postal français._x000D_
Le domaine d'application du système postal français est constitué des territoires suivants :_x000D_
FR : France métropolitaine_x000D_
GP : Guadeloupe_x000D_
BL : Saint Barthélémy_x000D_
MF : Saint Martin_x000D_
MQ : Martinique_x000D_
GF : Guyane Française_x000D_
RE : Ile de la Réunion_x000D_
PM : Saint Pierre et Miquelon_x000D_
YT : Mayotte_x000D_
WF : Wallis et Futuna_x000D_
PF : Polynésie Française_x000D_
NC : Nouvelle Calédonie_x000D_
MC : Monaco";"ISO_3166-1-A2_Pays";"Etablissement.CodePays"
"S21.G00.11";"016";"Code de distribution à l'étranger";;"Type_Alphanumeric_1-50";"Etablissement.CodeDistribution"
"S21.G00.11";"017";"Nature juridique de l'employeur";"La nature juridique de l’employeur constitue ce qui définit en droit un employeur. Elle précise s’il est de nature privée ou publique. L’employeur est une personne physique ou morale qui a conclu un contrat de travail avec un salarié. Il exerce des pouvoirs de direction, de contrôle et de sanction. Il assume envers le salarié et à l’égard des administrations fiscale et sociale les obligations liées au contrat de travail._x000D_
Nature du droit applicable à l'employeur.";"DSN_Etablissement_Nature_Juridique";"Etablissement.NatureJuridiqueEmployeur"
"S21.G00.11";"019";"Date d'effet de l'adhésion au dispositif TESE/CEA";"Cette rubrique est exclusivement alimentée par les centres TESE de l’ACOSS dans le cadre du dispositif TESE/CEA. Elle ne doit en conséquence pas être développée par les éditeurs de logiciels et ne doit pas être renseignée par les déclarants autres que l’ACOSS.";"Date_JJMMAAAA_sans_regex";"Etablissement.DateEffetAdhesionTESECEA"
"S21.G00.11";"020";"Date d'effet de la sortie du dispositif TESE/CEA";"Cette rubrique est exclusivement alimentée par les centres TESE de l’ACOSS dans le cadre du dispositif TESE/CEA. Elle ne doit en conséquence pas être développée par les éditeurs de logiciels et ne doit pas être renseignée par les déclarants autres que l’ACOSS.";"Date_JJMMAAAA_sans_regex";"Etablissement.DateSortieTESECEA"
"S21.G00.15";"001";"Référence du contrat de Prévoyance";"Référence permettant d'identifier le contrat Prévoyance, complémentaire Santé ou Retraite supplémentaire.";"Type_Alphanumeric_1-30";"PrevoyanceAdhesion.Reference"
"S21.G00.15";"002";"Code organisme de Prévoyance";"Code de l'institution de prévoyance (sur 5 caractères sous la forme Pnnnn), de la mutuelle (sur 9 caractères numériques), de la société d'assurances (sur 6 caractères sous la forme Axxxxx) ou de l'organisme complémentaire non fédéré par un membre du GIP-MDS (CTIP, FFSA, FNMF) (sur 9 caractères alphanumériques dont un au moins est une lettre ), concerné par le contrat référencé.";"DSN_Ref_Ops_4_5";"PrevoyanceAdhesion.Organisme"
"S21.G00.15";"003";"Code délégataire de gestion";"Organisme tiers à qui l'organisme de Prévoyance a délégué tout ou partie de la gestion du contrat._x000D_
Cette rubrique peut être alimentée, en complément du code organisme, uniquement sur instruction spécifique de l'institution de prévoyance, de la mutuelle, de la société d'assurances ou de l'organisme complémentaire non fédéré par un membre du GIP-MDS (CTIP, FFSA, FNMF) qui fournira les valeurs à utiliser.";"DSN_Code_Deleg_Gestion";"PrevoyanceAdhesion.Delegataire"
"S21.G00.15";"004";"Personnel couvert";"Dans une déclaration mensuelle, précise s'il existe ou non au moins un salarié couvert par ce contrat de Prévoyance, pour la période et l'établissement d'affectation déclarés._x000D_
_x000D_
Cette rubrique est renseignée à ""01"" si un salarié au moins est couvert par le contrat référencé en S21.G00.15.001 pour l’établissement d’affectation et le mois déclaré ou à ""02"" s’il n’existe pas ou plus de salarié couvert dans l’établissement. _x000D_
_x000D_
L’alimentation du bloc 15 permet d’assurer que la DSN soit adressée à l’organisme de Prévoyance en l’absence de personnel couvert.";"DSN_Personnel_Couvert";"PrevoyanceAdhesion.PersonnelCouvert"
"S21.G00.15";"005";"Identifiant technique Adhésion";"Cet identifiant est interne au message DSN et doit être unique pour chaque adhésion._x000D_
Dans une DSN mensuelle, il permet de faire le lien :_x000D_
- avec les affiliations prévoyance (""Identifiant technique Adhésion - S21.G00.70.013"")_x000D_
- avec les cotisations établissement (""Référence réglementaire ou contractuelle - S21.G00.82.005"")";"DSN_Identifiant_Technique_Adhesion";"PrevoyanceAdhesion.IdentifiantTechniqueAdhesion"
"S21.G00.16";"001";"Date de la modification";"La date de modification correspond à la date de survenance du changement de caractéristique de l'Adhésion Prévoyance.";"Date_JJMMAAAA_20";"ChangementsDestinataireAdhesionPrevoyance.DateModification"
"S21.G00.16";"002";"Ancien Code organisme de Prévoyance";"Code de l'institution de prévoyance (sur 5 caractères sous la forme Pnnnn), de la mutuelle (sur 9 caractères numériques), de la société d'assurances (sur 6 caractères sous la forme Axxxxx) ou de l'organisme complémentaire non fédéré par un membre du GIP-MDS (CTIP, FFSA, FNMF) (sur 9 caractères alphanumériques dont un au moins est une lettre) concerné par le contrat référencé.";"DSN_Ref_Ops_4_5";"ChangementsDestinataireAdhesionPrevoyance.Organisme"
"S21.G00.16";"003";"Ancien Code délégataire de gestion";"Ancien Organisme tiers à qui l'organisme de Prévoyance a délégué tout ou partie de la gestion du contrat référencé en S21.G00.15.001.";"DSN_Code_Deleg_Gestion";"ChangementsDestinataireAdhesionPrevoyance.Delegataire"
"S21.G00.82";"001";"Valeur";"Montant de cotisation ou valeur, dont la nature est renseignée dans la rubrique Code de cotisation S21.G00.82.002, due au titre de l'établissement déclaré en S21.G00.11._x000D_
Avec décimale, signé, valeur zéro autorisée, zéros non significatifs tolérés._x000D_
Modalité de valorisation : _x000D_
- Caisse CIBTP : valeur. Dans le cas du nombre d'heures d'intérim, il s'agit du nombre d'heures d'intérim facturés dans le mois par l'établissement. Dans le cas du chiffre d'affaires, il s'agit de la valeur de la base de cotisation de niveau établissement._x000D_
- Organisme complémentaire : montant  de cotisation dont la nature est renseignée dans la rubrique Code de cotisation S21.G00.82.002, due au titre de l'établissement déclaré en S21.G00.11._x000D_
- MSA : montant";"Montant_ZNS_4_18_3_N_Z";"CotisationEtablissement.Valeur"
"S21.G00.82";"002";"Code de cotisation";"Nature des cotisations ou valeur directement attachées et imputables à l'établissement déclaré en S21.G00.11._x000D_
Modalité de valorisation :_x000D_
- Caisse CIBTP : ""023"", ""024""_x000D_
- Organisme complémentaire : ""001"", ""002"", ""003"", ""004"", ""005"", ""006"", ""007"", ""009"", ""010"", ""011"", ""012"", ""017"", ""018"", ""019"", ""020"", ""036"", ""037"", ""038"", ""039"", ""040"", ""046"", ""090""_x000D_
- MSA : ""021"", ""022"", ""025"", ""026"", ""027"", ""028"", ""029"", ""030"", ""031"", ""032"", ""033"", ""034"", ""035"", ""041"", ""042"", ""043"", ""044"", ""045""";"DSN_Code_Cotisation";"CotisationEtablissement.CodeCotisation"
"S21.G00.82";"003";"Date de début de période de rattachement";"Date de début de période de rattachement de la cotisation établissement._x000D_
Modalité de valorisation :_x000D_
- Caisse CIBTP : date_x000D_
- Organisme complémentaire : date_x000D_
- MSA : date";"Date_JJMMAAAA_20";"CotisationEtablissement.RattachementDateDebutPeriode"
"S21.G00.82";"004";"Date de fin de période de rattachement";"Date de fin de période de rattachement de la cotisation établissement._x000D_
_x000D_
Modalité de valorisation :_x000D_
_x000D_
- Caisse CIBTP : date_x000D_
- Organisme complémentaire : date_x000D_
- MSA : date_x000D_
";"Date_JJMMAAAA_20";"CotisationEtablissement.RattachementDateFinPeriode"
"S21.G00.82";"005";"Référence réglementaire ou contractuelle";"Référence réglementaire ou contractuelle de la cotisation établissement, exploitée par certains organismes._x000D_
_x000D_
Modalité de valorisation :_x000D_
_x000D_
- Caisse CIBTP : indiquer l'un des codes caisses CIBTP sur deux caractères présents dans la liste des_x000D_
valeurs autorisées disponibles sur le site http://www.net-entreprises.fr (table RRC - Identifiant Organisme de Protection Sociale - Référence réglementaire ou contractuelle) suivi du numéro d'adhérent attribué par la caisse._x000D_
- Organisme complémentaire : à renseigner par l'identifiant technique de l'adhésion Prévoyance_x000D_
(S21.G00.15.005) à laquelle se rattache le montant de la cotisation ou de la déduction de cotisation._x000D_
- MSA : code caisse MSA (Table RRC - Identifiant Organisme de Protection Sociale - Référence réglementaire ou contractuelle)";"DSN_Reference_Reglementaire_Contractuelle";"CotisationEtablissement.ReferenceReglementaireContractuelle"
"S21.G00.20";"001";"Identifiant Organisme de Protection Sociale";"Code identifiant de l'organisme de protection sociale destinataire du versement de cotisations sociales émis par l'établissement payeur._x000D_
_x000D_
Modalité de valorisation : _x000D_
_x000D_
- AGIRC-ARRCO : SIRET du GPS auquel est rattachée l'Institution de retraite concernée_x000D_
- Caisse CIBTP : non concerné_x000D_
- CAMIEG : SIRET de la CAMIEG_x000D_
- CCVRP : non concerné_x000D_
- CNIEG : SIRET de la CNIEG_x000D_
- Congés spectacles (AUDIENS) : SIRET de la Caisse CS_x000D_
- CRPCEN : SIRET de la CRPCEN_x000D_
- CRPNPAC : SIRET de la CRPNPAC_x000D_
- Organisme complémentaire : code de l’institution de prévoyance, de la mutuelle, de la société d’assurance ou de l'organisme complémentaire non fédéré par un membre du GIP-MDS (CTIP, FFSA, FNMF) pour le compte de laquelle s’effectue le versement (Tables PREV - Code institution de prévoyance, MUT - Code mutuelle, ASSU - Code société d’assurance, OCI - Code organisme OC isolé, proposées sur le site http://www.netentreprises.fr)_x000D_
- DGFiP : DGFIP_x000D_
- IRCANTEC : non concerné_x000D_
- MSA : code caisse MSA_x000D_
- Pôle emploi : non concerné_x000D_
- URSSAF : SIRET de l'URSSAF (Table proposée sur le site http://www.net-entreprises.fr)";"DSN_IdOPS_2_14";"VersementOPS.IdentifiantOPS"
"S21.G00.20";"002";"Entité d'affectation des opérations";"Identifiant de l'établissement, de la population de salariés ou de tout axe de regroupement pour lequel est réalisé le paiement de cotisations sociales._x000D_
_x000D_
Modalité de valorisation : _x000D_
_x000D_
- AGIRC-ARRCO : SIRET_x000D_
- Caisse CIBTP : non concerné_x000D_
- CAMIEG : groupe de cotisations (CAMIEG_COT_SOL, CAMIEG_COT_CPL)_x000D_
- CCVRP : non concerné_x000D_
- CNIEG : groupe de cotisations (CNIEG_COT_RS, CNIEG_COT_POOL, CNIEG_COT_RDC)_x000D_
- Congés spectacles (AUDIENS) : PSEUDO-SIRET attribué pour les films par l'URSSAF_x000D_
- CRPCEN : numéro d'étude CRPCEN (6 chiffres)_x000D_
- CRPNPAC : non concerné_x000D_
- Organisme complémentaire : Référence permettant d'identifier certains périmètres de paiement particuliers. A renseigner sur demande explicite de l'organisme de Prévoyance, qui fournira la valeur à utiliser_x000D_
- DGFiP : non concerné_x000D_
- IRCANTEC : non concerné_x000D_
- MSA : non concerné_x000D_
- Pôle emploi : non concerné_x000D_
- URSSAF : PSEUDO-SIRET (dans le cas d'une population de salariés) ou SIRET du compte employeur pour le versement en lieu unique";"Type_Alphanumeric_2-14";"VersementOPS.EntiteAffectation"
"S21.G00.20";"003";"BIC";"Il s'agit des coordonnées bancaires au format BIC du compte sur lequel doit être prélevé le montant de l'ordre de règlement. Cette rubrique s'appuie sur la norme ISO 9362.";"Type_Alphanumeric_8-11_regex";"VersementOPS.BIC"
"S21.G00.20";"004";"IBAN";"Il s'agit des coordonnées bancaires au format IBAN du compte sur lequel doit être prélevé le montant de l'ordre de règlement. Cette rubrique s'appuie sur la norme ISO 13616:2007.";"Type_Alphanumeric_15-34";"VersementOPS.IBAN"
